scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Pithecia albicans,포유류,MAMMALIA,LC,0,10.0,True
Rousettus bidens,무척추/식물/기타,,VU,2,4.9,True
Rubrisciurus rubriventer,포유류,MAMMALIA,LC,0,3.79,True
Semnopithecus hypoleucos,포유류,MAMMALIA,LC,0,11.0,False
Strigocuscus celebensis,포유류,MAMMALIA,NT,1,5.5,True
Syconycteris carolinae,포유류,MAMMALIA,NT,1,4.3,True
Sylvisorex lunaris,포유류,MAMMALIA,NT,1,1.0,True
Taeromys taerae,포유류,MAMMALIA,LC,0,1.75,False
Thomasomys incanus,포유류,MAMMALIA,LC,0,1.5,False
Thomasomys kalinowskii,포유류,MAMMALIA,LC,0,1.5,False
Antilope cervicapra,포유류,MAMMALIA,LC,0,6.4,True
Aonyx capensis,포유류,MAMMALIA,NT,1,4.4,True
Aonyx congicus,포유류,MAMMALIA,NT,1,6.45,True
Atelocynus microtis,포유류,MAMMALIA,NT,1,4.0,True
Barbastella barbastellus,포유류,MAMMALIA,VU,2,5.0,True
Bassaricyon neblina,포유류,MAMMALIA,NT,1,5.2,True
Bauerus dubiaquercus,포유류,MAMMALIA,NT,1,5.0,True
Bdeogale jacksoni,포유류,MAMMALIA,NT,1,3.0,True
Bettongia gaimardi,포유류,MAMMALIA,NT,1,3.0,True
Bettongia lesueur,포유류,MAMMALIA,NT,1,3.3,True
Bison bison,포유류,MAMMALIA,NT,1,9.0,True
Bunomys penitus,포유류,MAMMALIA,LC,0,1.5,False
Cabassous chacoensis,포유류,MAMMALIA,NT,1,5.0,True
Caenolestes caniventer,포유류,MAMMALIA,NT,1,3.0,True
Callicebus nigrifrons,포유류,MAMMALIA,NT,1,8.0,True
Callosciurus adamsi,포유류,MAMMALIA,NT,1,4.3,True
Callosciurus quinquestriatus,포유류,MAMMALIA,LC,0,4.3,True
Capra cylindricornis,포유류,MAMMALIA,NT,1,7.0,True
Cebus cuscinus,포유류,MAMMALIA,NT,1,16.0,True
Cephalophus dorsalis,포유류,MAMMALIA,NT,1,5.0,True
Cephalophus leucogaster,포유류,MAMMALIA,NT,1,4.6,True
Cephalophus silvicultor,포유류,MAMMALIA,NT,1,6.3,True
Chacodelphys formosa,포유류,MAMMALIA,NT,1,1.7,True
Chalinolobus picatus,포유류,MAMMALIA,NT,1,5.6,True
Chodsigoa smithii,포유류,MAMMALIA,NT,1,1.0,True
Chrysocyon brachyurus,포유류,MAMMALIA,NT,1,5.0,True
Corynorhinus mexicanus,포유류,MAMMALIA,NT,1,3.3,False
Crocidura grandiceps,포유류,MAMMALIA,LC,0,1.0,True
Crocidura nimbae,포유류,MAMMALIA,NT,1,1.2,True
Dasycercus cristicauda,포유류,MAMMALIA,EX,5,2.0,True
Dasypus sabanicola,포유류,MAMMALIA,NT,1,4.0,True
Dasyurus geoffroii,포유류,MAMMALIA,NT,1,2.0,True
Dasyurus maculatus,포유류,MAMMALIA,NT,1,2.5,True
Delphinapterus leucas,포유류,MAMMALIA,VU,2,28.0,True
Dendrolagus lumholtzi,포유류,MAMMALIA,NT,1,8.0,True
Dobsonia pannietensis,포유류,MAMMALIA,NT,1,5.8,True
Dorcopsulus vanheurni,포유류,MAMMALIA,NT,1,5.0,True
Dromiciops gliroides,포유류,MAMMALIA,NT,1,3.0,True
Dyacopterus spadiceus,포유류,MAMMALIA,NT,1,5.0,True
Ectophylla alba,포유류,MAMMALIA,NT,1,6.0,True
Eidolon helvum,포유류,MAMMALIA,NT,1,5.0,True
Elaphodus cephalophus,포유류,MAMMALIA,NT,1,7.0,True
Eothenomys wardi,포유류,MAMMALIA,NT,1,1.6,True
Eudorcas thomsonii,포유류,MAMMALIA,LC,0,4.2,True
