scientific_name,iucn_class,iucn_category,raw,consensus_score,gen,log_gen,taxon,iucn_rli,is_extinct
Urocyon littoralis,MAMMALIA,NT,4,6.6,4.0,0.6020599913279624,포유류,1,False
Uromys hadrourus,MAMMALIA,NT,2-3,10.5,2.5,0.3979400086720376,포유류,1,False
Wyulda squamicaudata,MAMMALIA,NT,4,40.5,4.0,0.6020599913279624,포유류,1,False
Antechinomys laniger,MAMMALIA,LC,2,40.2,2.0,0.3010299956639812,포유류,0,False
Antidorcas marsupialis,MAMMALIA,LC,4.2,3.6,4.2,0.6232492903979004,포유류,0,False
Arctocephalus australis,MAMMALIA,LC,11.7,3.6,11.7,1.0681858617461617,포유류,0,False
Arctocephalus forsteri,MAMMALIA,LC,9.9,3.6,9.9,0.9956351945975499,포유류,0,False
Arctocephalus pusillus,MAMMALIA,LC,9.1,3.6,9.1,0.9590413923210935,포유류,0,False
Arctocephalus tropicalis,MAMMALIA,LC,10.7,10.5,10.7,1.0293837776852097,포유류,0,False
Balaena mysticetus,MAMMALIA,VU,52,60.0,52.0,1.7160033436347992,포유류,2,False
Boselaphus tragocamelus,MAMMALIA,LC,5.7,10.5,5.7,0.7558748556724915,포유류,0,False
Capra sibirica,MAMMALIA,NT,7,40.1,7.0,0.8450980400142568,포유류,1,False
Castor fiber,MAMMALIA,LC,9,3.6,9.0,0.9542425094393249,포유류,0,False
Ctenomys peruanus,MAMMALIA,CR,1.3,90.5,1.3,0.11394335230683679,포유류,4,False
Gazella bennettii,MAMMALIA,LC,4.0,40.2,4.0,0.6020599913279624,포유류,0,False
Gulo gulo,MAMMALIA,LC,7-8,17.3,7.5,0.8750612633917001,포유류,0,False
Halichoerus grypus,MAMMALIA,LC,16.5,3.6,16.5,1.2174839442139063,포유류,0,False
Herpailurus yagouaroundi,MAMMALIA,NT,6,40.3,6.0,0.7781512503836436,포유류,1,False
Hippotragus equinus,MAMMALIA,LC,7.5,40.1,7.5,0.8750612633917001,포유류,0,False
Histriophoca fasciata,MAMMALIA,LC,10.4,15.2,10.4,1.0170333392987803,포유류,0,False
Hydrurga leptonyx,MAMMALIA,LC,10.4,15.3,10.4,1.0170333392987803,포유류,0,False
Isoodon obesulus,MAMMALIA,LC,2,40.2,2.0,0.3010299956639812,포유류,0,False
Lama guanicoe,MAMMALIA,LC,4-5,3.6,4.5,0.6532125137753437,포유류,0,False
Leptonychotes weddellii,MAMMALIA,LC,10.8,15.1,10.8,1.0334237554869496,포유류,0,False
Lobodon carcinophaga,MAMMALIA,LC,14.9,15.2,14.9,1.173186268412274,포유류,0,False
Lycalopex vetulus,MAMMALIA,NT,3-4,40.3,3.5,0.5440680443502757,포유류,1,False
Marmota olympus,MAMMALIA,LC,5,50.4,5.0,0.6989700043360189,포유류,0,False
Microtus tatricus,MAMMALIA,LC,1,10.5,1.0,0.0,포유류,0,False
Mirounga angustirostris,MAMMALIA,LC,8.7,3.6,8.7,0.9395192526186185,포유류,0,False
Myzopoda schliemanni,MAMMALIA,LC,5.67,15.1,5.67,0.7535830588929066,포유류,0,False
Notoryctes caurinus,MAMMALIA,LC,10,10.5,10.0,1.0,포유류,0,False
Notoryctes typhlops,MAMMALIA,LC,10-15,10.5,12.5,1.0969100130080565,포유류,0,False
Ommatophoca rossii,MAMMALIA,LC,8.6,15.3,8.6,0.9344984512435677,포유류,0,False
Oreamnos americanus,MAMMALIA,LC,7,10.5,7.0,0.8450980400142568,포유류,0,False
Otaria byronia,MAMMALIA,LC,10.6,10.5,10.6,1.0253058652647702,포유류,0,False
Ovis canadensis,MAMMALIA,LC,7,10.5,7.0,0.8450980400142568,포유류,0,False
Ovis dalli,MAMMALIA,LC,7,10.5,7.0,0.8450980400142568,포유류,0,False
Petrogale brachyotis,MAMMALIA,LC,5,15.3,5.0,0.6989700043360189,포유류,0,False
Plecotus kolombatovici,MAMMALIA,LC,5,40.6,5.0,0.6989700043360189,포유류,0,False
Procapra gutturosa,MAMMALIA,LC,4.2,10.5,4.2,0.6232492903979004,포유류,0,False
Pseudantechinus bilarni,MAMMALIA,NT,2,40.2,2.0,0.3010299956639812,포유류,1,False
Pseudochirops archeri,MAMMALIA,NT,4-5,39.9,4.5,0.6532125137753437,포유류,1,False
Pusa sibirica,MAMMALIA,LC,21.6,10.5,21.6,1.334453751150931,포유류,0,False
Rupicapra rupicapra,MAMMALIA,LC,8-11,15.2,9.5,0.9777236052888477,포유류,0,False
Sminthopsis leucopus,MAMMALIA,LC,1,10.5,1.0,0.0,포유류,0,False
